,0,1,2,3,4
83,835,938,688,15,107
84,513,424,606,895,190
85,951,685,947,232,294
86,996,486,486,386,462
87,694,777,305,431,650
88,166,283,845,235,369
89,38,133,741,285,594
90,142,982,924,420,827
91,814,83,712,810,36
92,12,229,110,486,761
93,323,186,563,723,141
94,389,762,85,735,462
95,744,687,566,107,654
96,123,97,526,928,360
97,787,982,187,494,515
98,160,83,315,93,241
99,448,167,127,188,858
100,120,44,774,890,362
101,863,388,220,3,764
102,183,234,179,739,851
103,578,443,548,392,732
104,959,543,441,697,489
105,237,942,209,725,395
106,661,354,867,470,271
107,889,910,954,66,260
108,656,557,93,695,457
109,848,42,402,551,64
110,791,941,808,984,946
111,656,623,80,107,878
112,289,293,28,174,622
113,671,743,139,722,243
114,346,185,775,888,6
115,803,765,281,697,644
116,712,462,119,35,463
117,397,498,844,909,557
118,853,675,18,668,836
119,281,448,847,405,71
120,942,9,105,389,303
121,752,748,106,747,494
122,797,974,128,547,486
123,202,974,753,419,476
124,610,4,491,264,310
125,987,119,301,131,465
126,835,542,797,830,268
127,894,190,737,439,630
128,649,509,375,793,261
129,979,165,960,915,711
130,168,519,289,390,378
131,151,202,946,407,235
132,785,255,64,812,879
133,232,360,462,475,712
134,847,359,177,289,409
135,161,801,614,906,350
136,82,215,735,686,167
137,581,797,938,777,424
138,83,170,479,670,940
139,14,935,305,192,332
140,810,244,91,61,832
141,503,591,331,604,425
142,149,766,629,397,870
143,979,231,709,45,913
144,784,324,432,713,133
145,437,329,679,526,75
146,678,921,859,21,740
147,269,913,761,929,571
148,555,940,522,209,126
149,897,527,525,816,603
150,6,32,390,437,218
151,687,273,854,35,518
152,348,157,809,361,802
153,402,228,422,527,570
154,724,455,13,129,846
155,340,575,672,12,493
156,516,424,846,124,436
157,656,715,347,351,751
158,532,850,483,712,849
159,770,83,388,892,649
160,551,328,948,906,335
161,603,841,689,64,508
162,655,136,373,19,611
163,450,852,317,248,842
164,337,291,833,568,192
165,226,979,512,522,442
166,625,191,867,233,356
167,426,176,178,975,604
168,626,664,626,21,623
169,509,542,193,93,853
170,682,285,864,230,452
171,959,938,11,261,570
172,515,648,803,907,414
173,859,109,451,496,186
174,225,157,246,752,531
175,56,882,571,462,790
176,432,437,749,987,710
177,628,206,792,993,567
178,235,880,330,756,337
179,671,57,168,293,714
180,97,7,74,892,930
181,151,382,682,287,596
182,161,78,113,53,715
183,587,724,634,938,55
184,934,268,793,897,145
185,961,358,762,180,129
186,781,747,128,45,75
187,212,967,960,183,175
188,530,109,704,443,635
189,121,691,674,147,194
190,788,514,920,365,283
191,91,354,671,729,88
192,226,951,917,318,296
193,206,898,404,224,917
194,127,977,32,849,4
195,776,393,923,844,155
196,737,839,265,701,686
197,916,147,563,516,181
198,416,301,470,175,829
199,132,931,196,291,485
200,749,186,686,963,570
201,344,386,337,29,387
202,767,142,169,315,937
203,504,855,910,259,249
204,325,664,432,869,884
205,754,532,822,487,514
206,157,673,835,465,229
207,999,98,914,807,752
208,497,470,929,693,909
209,123,190,205,819,860
210,834,75,740,88,681
211,304,716,666,639,568
212,825,879,585,699,245
213,861,770,105,480,747
214,387,161,578,10,170
215,418,70,814,854,830
216,689,386,939,179,965
217,974,746,214,744,190
218,232,74,610,42,766
219,731,192,345,648,674
220,456,62,943,828,905
221,161,201,368,598,532
222,43,27,250,476,929
223,810,308,922,741,612
224,519,183,406,861,775
225,563,868,816,927,620
226,511,616,83,817,217
227,126,18,352,694,386
228,283,462,467,65,168
229,609,578,898,873,304
230,740,977,632,182,262
231,712,871,65,854,487
232,217,822,242,649,292
233,677,874,119,823,602
234,714,723,503,734,172
235,804,720,489,559,678
236,270,571,426,75,972
237,675,913,989,916,165
238,516,315,430,501,995
239,4,737,530,768,269
240,88,647,706,799,277
241,618,617,483,939,948
242,46,131,764,881,96
243,786,764,85,168,169
244,609,700,617,635,101
245,864,49,765,661,616
246,824,491,666,355,156
247,924,340,562,569,399
248,204,486,899,339,299
249,633,649,294,137,409
250,34,862,701,662,250
251,480,226,513,274,433
252,43,107,759,769,983
253,525,278,78,773,586
254,452,700,418,267,875
255,850,395,339,930,903
256,555,583,678,737,121
257,912,981,729,90,509
258,953,46,110,351,95
259,988,429,443,984,123
260,159,89,172,726,267
261,104,137,783,842,983
262,30,424,393,925,380
263,138,817,412,322,431
264,248,173,414,600,480
265,726,97,184,575,186
266,414,515,526,973,199
267,83,686,928,511,106
268,345,24,159,520,409
269,944,969,674,325,624
270,923,456,85,799,288
271,680,244,749,231,753
272,807,558,902,595,565
273,125,988,937,687,966
274,641,676,839,635,204
275,187,32,18,959,124
276,188,145,845,704,887
277,62,398,493,183,94
278,402,346,527,41,566
279,967,543,710,980,953
280,620,360,580,112,407
281,602,446,863,396,980
282,815,332,423,920,347
283,985,672,416,848,12
284,211,443,62,621,342
285,308,228,597,460,391
286,162,589,298,597,565
287,985,987,87,390,158
288,258,939,274,361,471
289,82,397,157,562,219
290,344,607,860,934,791
291,336,419,27,609,882
292,677,179,924,327,245
293,779,342,934,335,668
294,699,748,577,952,876
295,663,727,297,921,760
296,393,518,789,841,314
297,640,875,626,821,142
298,718,47,460,865,65
299,731,503,166,747,153
300,631,242,107,29,786
301,708,566,316,216,672
302,143,654,730,506,32
303,275,789,519,136,9
304,135,396,443,745,739
305,86,486,390,413,627
306,22,926,115,652,966
307,157,608,720,832,819
308,766,626,313,567,843
309,447,88,875,861,440
310,57,749,210,244,404
311,582,412,340,972,318
312,589,729,226,232,968
313,370,293,462,981,358
314,428,664,982,116,577
315,971,2,144,788,622
316,216,629,488,135,749
317,497,818,162,978,580
318,476,143,780,543,666
319,797,438,610,828,887
320,31,160,892,774,649
321,661,912,286,907,658
322,678,460,262,591,651
323,528,873,918,946,918
324,879,829,497,416,303
325,957,243,413,383,915
326,409,458,389,983,715
327,119,981,951,292,348
328,38,865,569,115,750
329,372,293,741,384,606
330,228,781,212,636,337
331,988,700,924,644,922
332,823,667,995,350,682
333,353,511,497,620,613
334,836,810,154,630,196
335,510,44,539,211,856
336,958,587,657,949,845
337,863,655,600,80,51
338,292,811,610,866,113
339,369,182,584,943,778
340,192,558,736,776,134
341,402,687,897,461,233
342,12,541,432,971,105
343,929,577,127,409,429
344,757,293,804,341,376
345,724,500,161,625,455
346,264,35,886,435,562
347,189,542,777,626,582
348,848,319,843,12,247
349,837,617,365,900,187
350,597,584,955,892,924
351,494,115,774,98,513
352,740,640,608,590,910
353,231,675,331,146,759
354,772,741,377,448,382
355,136,749,57,145,648
356,529,402,271,283,284
357,852,78,1,483,990
358,760,727,621,409,735
359,519,711,208,101,246
360,618,229,922,843,55
361,759,655,388,192,941
362,658,347,338,966,92
363,984,485,517,168,543
364,147,545,408,989,349
365,426,483,746,129,615
366,463,249,471,9,818
367,48,554,48,53,687
368,74,926,9,444,65
369,497,335,255,582,793
370,161,597,952,890,847
371,303,731,60,774,646
372,387,651,728,515,722
373,161,529,834,17,174
374,75,763,759,935,427
375,515,123,384,87,172
376,988,417,812,762,794
377,711,579,749,113,311
378,225,207,912,640,548
379,218,724,525,450,192
380,33,265,840,158,206
381,360,893,247,641,68
382,722,91,117,630,228
383,69,64,74,7,991
384,637,673,844,918,364
385,884,217,753,845,979
386,178,819,512,353,29
387,884,464,829,855,670
388,639,811,409,533,699
389,86,986,821,732,742
390,608,104,820,182,593
391,176,312,385,197,726
392,619,499,815,196,18
393,263,12,258,929,204
394,633,717,5,794,529
395,403,163,932,65,178
396,762,677,823,419,132
397,916,415,498,160,929
398,964,498,750,86,692
399,412,656,359,907,805
400,23,116,4,411,669
401,916,818,924,686,186
402,88,161,690,456,361
403,400,938,327,319,405
404,866,863,735,540,616
405,367,368,864,861,534
406,900,170,729,864,992
407,194,357,923,778,398
408,872,669,888,612,825
409,464,345,843,624,926
410,541,605,683,556,474
411,241,626,481,474,909
412,312,785,329,226,90
413,702,807,850,559,691
414,448,619,653,80,891
415,6,353,444,386,676
416,478,532,571,940,360
417,680,71,986,95,84
418,856,730,312,456,24
419,770,982,538,581,332
420,711,311,316,594,28
421,83,630,286,611,381
422,450,481,674,166,864
423,364,897,583,726,302
424,885,745,706,24,296
425,811,527,932,497,446
426,811,654,972,320,168
427,981,453,47,207,496
428,110,635,821,894,411
429,680,780,53,421,396
430,747,988,83,287,435
431,66,395,767,705,883
432,180,268,152,926,431
433,905,332,929,833,460
434,438,289,370,984,176
435,900,725,543,335,239
436,26,729,831,796,563
437,508,471,935,410,10
438,57,137,215,246,697
439,505,209,90,960,476
440,907,965,163,859,425
441,597,290,166,366,293
442,292,411,160,680,985
443,22,453,834,284,255
444,422,669,158,969,628
445,884,683,761,944,827
446,447,990,897,26,598
447,235,682,598,621,4
448,710,701,830,680,672
449,569,204,312,444,215
450,497,959,363,307,728
451,492,648,425,373,35
452,609,586,686,85,752
453,997,347,423,853,602
454,595,7,934,910,294
455,485,216,719,986,142
456,437,311,221,181,917
457,858,719,922,825,235
458,134,34,279,534,767
459,407,51,347,463,62
460,178,629,182,499,311
461,699,34,812,984,655
462,287,268,765,391,67
463,101,972,244,677,122
464,614,444,526,689,954
465,257,900,137,691,72
466,549,264,312,614,660
467,426,256,962,124,597
468,946,615,762,140,819
469,42,799,930,447,440
470,816,287,5,982,601
471,907,474,435,573,279
472,289,236,890,115,767
473,248,883,86,670,525
474,230,797,277,677,834
475,985,823,281,778,397
476,901,155,260,257,128
477,548,349,407,940,448
478,615,468,15,269,653
479,287,4,509,229,227
480,264,143,635,627,624
481,257,985,369,589,925
482,448,644,907,857,159
483,461,718,68,272,385
484,812,704,457,891,896
485,979,77,590,275,543
486,980,665,352,811,191
487,936,502,382,442,567
488,384,278,278,629,277
489,497,498,735,582,173
490,764,511,920,446,423
491,596,98,369,903,475
492,530,624,61,628,809
493,730,87,906,772,578
494,856,725,697,323,358
495,740,226,24,495,146
496,77,31,415,337,638
497,879,730,643,164,124
498,427,744,991,200,267
499,203,37,9,52,906
500,641,596,310,522,960
501,181,297,932,4,429
502,910,843,477,864,360
503,969,986,795,380,506
504,634,404,726,70,211
505,483,650,25,257,18
506,425,70,496,991,812
507,250,526,918,705,396
508,344,750,694,879,357
509,147,899,544,705,780
510,201,672,174,122,947
511,592,615,671,719,280
512,518,841,688,960,629
513,414,391,456,245,724
514,710,424,572,708,838
515,898,36,825,69,171
516,820,606,187,931,69
517,142,654,642,22,735
518,650,115,45,746,237
519,156,57,220,314,564
520,147,512,665,400,452
521,807,284,744,183,550
522,436,216,794,657,36
523,719,403,571,826,975
524,705,699,81,744,144
525,352,633,75,583,251
526,376,135,408,166,59
527,474,843,958,809,812
528,165,395,843,615,480
529,897,538,773,538,778
530,489,374,904,851,290
531,514,209,450,216,39
532,234,264,606,107,351
533,960,205,986,723,957
534,363,431,582,652,561
535,50,575,517,594,279
536,788,314,609,515,342
537,297,630,631,132,90
538,751,472,408,855,943
539,574,61,537,352,326
540,188,893,993,943,665
541,841,267,828,17,70
542,539,342,244,384,167
543,876,928,527,481,50
544,455,966,660,600,552
545,308,397,497,858,235
546,524,377,982,364,609
547,330,353,212,806,678
548,610,936,19,643,337
549,679,341,19,805,328
550,922,836,376,882,456
551,28,221,506,432,908
552,739,569,474,327,476
553,408,323,460,883,231
554,842,914,597,327,43
555,973,653,749,300,360
556,660,614,43,91,442
557,968,240,522,571,102
558,48,158,903,810,577
559,321,258,239,425,8
560,429,875,378,182,970
561,384,612,639,801,701
562,100,318,877,995,833
563,192,423,900,568,742
564,418,24,163,562,428
565,183,977,717,78,14
566,277,337,387,122,235
567,227,811,205,782,558
568,669,222,614,510,294
569,801,606,125,927,585
570,510,746,755,10,88
571,611,11,639,812,859
572,773,121,283,894,469
573,839,57,65,141,337
574,493,993,109,915,565
575,785,918,316,386,398
576,636,60,337,149,372
577,735,963,391,863,197
578,689,685,367,457,918
579,437,943,176,910,399
580,320,441,160,669,97
581,972,542,264,380,712
582,152,486,990,259,39
583,841,920,900,64,631
584,480,258,811,684,13
585,158,524,357,977,559
586,844,836,358,438,895
587,748,308,855,690,224
588,987,254,876,348,625
589,755,832,306,569,623
590,91,769,750,152,586
591,642,395,808,49,512
592,431,762,34,275,446
593,583,126,504,304,833
594,361,466,575,33,609
595,306,588,801,918,443
596,695,928,883,145,736
597,201,848,553,259,867
598,522,157,232,40,791
599,460,221,421,508,356
600,129,571,182,34,214
601,269,887,49,594,521
602,522,281,662,170,175
603,937,42,909,544,961
604,28,649,250,789,177
605,971,730,434,760,395
606,77,67,270,659,109
607,327,312,541,965,956
608,917,74,271,145,170
609,723,92,18,485,618
610,347,662,699,342,628
611,264,267,317,787,972
612,669,637,558,870,681
613,953,687,322,265,248
614,432,516,836,132,263
615,407,429,317,522,395
616,481,848,71,49,926
617,413,935,952,384,249
618,349,314,272,192,607
619,462,832,598,493,427
620,198,137,800,425,562
621,315,89,610,411,32
622,784,571,295,343,898
623,872,307,204,921,502
624,558,849,219,361,230
625,569,31,699,266,727
626,881,536,23,511,645
627,674,428,746,412,873
628,581,293,516,494,621
629,286,327,239,472,501
630,536,710,965,158,397
631,334,998,128,58,827
632,365,587,732,592,752
633,17,383,975,595,708
634,684,705,662,717,764
635,260,398,3,115,34
636,987,816,272,481,129
637,11,325,728,369,144
638,737,466,122,730,956
639,926,95,129,181,544
640,259,917,486,75,657
641,96,930,726,977,549
642,933,861,668,359,42
643,431,784,427,602,702
644,648,766,977,800,801
645,339,433,105,83,681
646,572,66,428,18,596
647,389,868,117,704,413
648,782,153,967,916,819
649,651,777,470,546,502
650,846,576,615,167,984
651,669,938,723,524,641
652,913,475,630,145,410
653,792,700,815,699,592
654,856,253,448,590,964
655,5,500,360,392,870
656,41,137,356,919,967
657,754,365,520,845,380
658,461,861,21,90,778
659,106,384,66,175,600
660,301,137,839,6,569
661,261,483,423,240,668
662,349,574,392,911,693
663,463,186,879,558,348
664,791,914,584,861,784
665,73,458,314,172,914
666,930,962,24,117,214
667,656,713,208,96,953
668,213,907,192,152,218
669,423,346,77,357,630
670,520,387,826,430,464
671,2,370,758,821,201
672,56,158,507,50,487
673,671,852,778,289,112
674,200,380,167,812,972
675,569,851,98,479,454
676,997,591,46,712,173
677,906,175,932,589,577
678,429,917,594,892,247
679,136,308,983,757,140
680,692,359,471,775,102
681,248,496,587,321,93
682,531,862,194,487,997
683,34,266,924,448,285
684,95,324,446,939,429
685,605,479,702,598,500
686,865,947,383,763,754
687,154,215,252,790,204
688,841,182,660,738,670
689,753,694,279,897,809
690,530,491,885,247,438
691,452,921,574,714,241
692,531,609,693,598,530
693,395,198,98,162,855
694,766,14,154,86,491
695,756,465,445,408,102
696,508,933,788,135,73
697,649,196,179,177,658
698,960,407,391,980,257
699,882,33,749,414,366
700,376,50,113,75,810
701,716,179,13,30,246
702,226,287,381,191,400
703,618,744,780,583,168
704,448,453,71,739,209
705,236,426,476,402,707
706,167,933,484,362,544
707,175,995,239,728,361
708,546,310,341,551,208
709,506,132,599,156,348
710,526,89,21,30,361
711,832,382,924,357,520
712,767,783,288,898,375
713,625,628,383,141,155
714,997,381,449,80,514
715,966,885,186,606,268
716,895,133,663,574,480
717,153,138,898,64,70
718,179,817,324,946,614
719,297,671,452,952,21
720,480,374,441,453,195
721,788,733,957,47,332
722,215,382,364,186,696
723,459,889,375,392,830
724,339,312,509,625,564
725,926,121,707,941,945
726,430,32,633,392,528
727,716,857,30,664,228
728,924,856,6,36,782
729,596,676,222,173,516
730,364,478,762,606,389
731,495,357,820,221,387
732,394,547,153,823,777
733,472,100,136,595,526
734,124,607,327,532,681
735,724,810,788,193,14
736,652,931,736,569,606
737,478,980,32,450,914
738,201,239,586,454,213
739,212,3,730,453,623
740,406,788,531,937,536
741,975,180,164,278,38
742,77,809,823,495,518
743,7,26,965,714,114
744,943,208,340,733,688
745,577,309,804,56,684
746,299,412,277,856,411
747,477,382,297,741,603
748,307,817,108,954,85
749,786,428,104,259,564
750,350,500,940,72,142
751,238,38,226,339,56
752,601,547,527,458,105
753,898,17,273,286,941
754,676,431,948,744,889
755,649,875,152,657,40
756,834,599,885,708,118
757,613,361,469,580,789
758,963,763,637,350,979
759,312,678,141,391,29
760,895,866,56,51,230
761,392,903,153,598,752
762,814,933,119,484,21
763,219,393,973,824,411
764,54,309,327,594,841
765,618,129,52,563,216
766,373,660,201,501,27
767,171,496,475,254,525
768,914,398,265,337,355
769,835,647,567,134,689
770,902,484,627,407,57
771,680,81,695,526,643
772,677,243,575,662,936
773,424,103,458,802,378
774,728,474,192,547,188
775,127,282,93,20,390
776,493,503,598,95,769
777,577,36,643,691,804
778,186,117,970,839,719
779,777,202,566,730,430
780,426,891,947,355,324
781,240,880,748,177,344
782,665,516,322,732,249
783,676,312,76,218,426
784,319,911,825,727,564
785,959,152,223,38,416
786,907,61,608,459,949
787,143,203,712,166,445
788,560,460,919,568,945
789,18,737,281,754,185
790,951,265,400,990,709
791,755,950,527,153,26
792,117,766,229,380,939
793,142,360,330,522,772
794,798,78,238,887,59
795,953,731,124,718,753
796,535,588,187,274,264
797,313,250,475,762,681
798,927,413,722,751,219
799,688,18,424,571,841
800,506,477,110,624,475
801,472,660,208,558,342
802,187,556,287,756,333
803,14,187,209,236,782
804,991,850,168,683,837
805,866,347,586,501,773
806,691,956,30,201,590
807,819,967,595,399,892
808,112,17,209,119,177
809,165,859,867,378,356
810,876,234,99,850,364
811,692,556,822,124,108
812,508,91,573,536,407
813,620,410,266,248,22
814,774,17,753,827,258
815,668,971,772,69,578
816,153,855,213,930,853
817,598,88,862,847,820
818,53,776,764,723,838
819,585,634,91,420,167
820,301,65,620,226,181
821,476,60,837,814,506
822,580,48,152,182,867
823,364,801,328,44,687
824,385,103,584,72,991
825,123,17,602,423,842
826,452,703,723,952,388
827,244,484,309,366,886
828,144,611,483,149,743
829,669,946,88,151,226
830,61,627,583,271,112
831,538,373,267,598,809
832,328,963,426,283,136
833,780,960,4,368,418
834,780,226,736,231,875
835,674,968,354,86,792
836,705,346,967,963,594
837,549,14,207,119,714
838,460,151,73,950,115
839,86,27,970,608,75
840,320,50,101,139,48
841,515,436,198,77,907
842,763,605,86,684,664
843,669,768,743,829,676
844,723,86,233,923,829
845,172,70,974,459,19
846,129,976,123,182,794
847,651,35,206,181,984
848,697,165,817,953,646
849,295,854,23,767,308
850,294,481,726,293,909
851,918,288,39,479,828
852,953,765,189,351,445
853,731,390,812,746,387
854,785,968,709,184,909
855,761,585,861,116,275
856,72,691,769,655,706
857,970,821,776,880,304
858,694,630,999,376,172
859,420,315,836,550,65
860,653,776,977,356,185
861,571,420,694,744,125
862,872,522,378,923,107
863,187,463,205,677,78
864,648,915,704,151,662
865,296,218,434,556,706
866,925,308,665,490,547
867,960,596,51,297,573
868,191,387,123,335,896
869,172,696,617,762,454
870,969,138,679,604,792
871,30,422,708,852,484
872,138,801,682,72,360
873,749,664,327,797,353
874,314,620,601,231,275
875,39,387,66,297,388
876,764,341,31,969,177
877,348,524,691,982,79
878,212,78,612,109,504
879,975,870,411,619,921
880,757,30,457,536,633
881,229,571,816,564,175
882,961,434,791,974,394
883,399,986,135,900,201
884,885,631,237,33,959
885,980,724,686,80,375
886,188,871,398,413,765
887,541,974,248,460,425
888,386,770,99,649,996
889,22,817,707,836,407
890,107,265,933,947,362
891,987,154,107,236,246
892,772,237,966,167,359
893,444,578,621,529,918
894,658,952,417,417,535
895,112,173,271,413,433
896,783,752,289,450,897
897,911,592,187,819,399
898,485,124,631,880,440
899,688,372,960,19,627
900,518,828,286,876,216
901,954,648,74,924,164
902,958,406,815,292,293
903,632,150,716,207,285
904,246,766,901,957,610
905,807,825,555,653,324
906,303,461,92,3,53
907,265,222,203,442,895
908,947,220,448,477,499
909,877,915,740,954,343
910,92,690,413,973,192
911,422,339,534,409,571
912,262,748,885,637,928
913,961,998,368,733,269
914,291,642,847,626,725
915,881,463,206,830,698
916,842,847,74,820,648
917,739,317,831,509,669
918,563,317,908,137,129
919,109,904,648,892,280
920,743,261,543,883,189
921,201,602,551,111,809
922,785,644,675,455,70
923,883,597,849,281,249
924,320,789,735,609,653
925,892,631,337,266,336
926,748,430,498,343,639
927,951,992,82,307,431
928,557,710,928,13,798
929,321,634,446,270,726
930,611,811,56,51,995
931,542,458,220,541,37
932,382,636,238,84,640
933,203,63,478,2,736
934,519,625,946,868,788
935,254,686,72,566,731
936,178,676,53,934,930
937,475,981,189,175,26
938,841,393,213,426,456
939,448,821,269,843,801
940,927,547,168,891,432
941,805,91,672,429,206
942,151,603,296,756,336
943,425,145,612,81,938
944,538,963,89,944,726
945,558,968,301,479,65
946,119,725,65,981,357
947,655,941,661,629,391
948,265,674,731,432,996
949,830,962,423,294,147
950,319,731,239,380,287
951,846,553,176,634,512
952,692,271,269,145,743
953,457,10,568,237,806
954,320,126,875,698,424
955,121,779,791,198,506
956,587,446,660,536,579
957,800,625,689,759,274
958,822,591,670,529,232
959,400,8,219,201,105
960,966,290,997,167,204
961,70,101,458,161,993
962,352,261,245,740,937
963,590,731,912,509,372
964,416,76,19,190,535
965,226,375,174,599,311
966,37,292,364,396,514
967,848,119,465,921,50
968,248,892,202,298,541
969,445,612,474,255,259
970,779,552,279,289,876
971,857,892,846,293,235
972,486,131,891,64,965
973,58,676,181,420,354
974,929,40,26,89,407
975,915,185,605,533,703
976,164,756,131,417,539
977,231,2,49,657,245
978,527,795,582,631,429
979,863,283,917,181,501
980,92,187,245,160,408
981,858,347,718,182,925
982,72,795,466,748,782
983,182,113,958,219,551
984,572,773,558,959,309
985,675,354,499,903,708
986,757,26,295,462,908
987,429,630,785,540,354
988,845,252,478,204,338
989,921,857,156,157,71
990,148,601,336,111,663
991,142,815,430,439,48
992,205,959,638,651,326
993,770,296,550,232,666
994,300,394,556,869,104
995,606,583,347,187,617
996,561,240,989,979,156
997,829,733,474,432,49
998,909,943,266,438,914
999,722,194,675,868,312
1000,987,723,758,979,15
1001,209,55,227,84,39
1002,48,908,245,922,921
1003,814,483,573,683,223
1004,836,168,854,157,164
1005,189,524,695,274,892
1006,415,703,224,976,758
1007,363,1,308,433,492
1008,109,943,50,331,115
1009,844,203,677,698,176
1010,906,762,114,965,590
1011,651,438,442,615,4
1012,660,372,168,237,472
1013,538,731,367,241,643
1014,978,447,333,786,287
1015,799,703,629,413,188
1016,486,94,201,446,696
1017,446,999,745,294,354
1018,696,859,391,102,302
1019,561,614,338,617,700
1020,735,205,581,109,229
1021,649,998,803,760,813
1022,513,633,859,13,409
1023,713,913,228,486,418
1024,573,481,837,873,330
1025,317,442,29,728,343
1026,821,774,884,663,589
1027,957,869,84,698,839
1028,658,969,851,962,728
1029,96,967,365,856,966
1030,591,158,955,136,392
1031,284,208,340,227,384
1032,702,391,593,301,335
1033,871,117,327,156,587
1034,11,998,705,629,652
1035,299,250,537,856,939
1036,894,935,785,412,277
1037,538,230,976,316,507
1038,174,395,128,243,24
1039,314,662,205,224,884
1040,452,492,24,944,236
1041,926,825,402,961,584
1042,863,805,614,804,40
1043,763,182,261,862,85
1044,269,781,163,239,510
1045,377,255,176,56,813
1046,644,929,34,717,828
1047,403,717,260,658,681
1048,380,430,902,571,412
1049,372,56,688,151,291
1050,713,145,604,295,769
1051,765,591,269,851,99
1052,880,294,353,288,800
1053,948,667,33,576,393
1054,391,259,351,257,242
1055,685,980,697,73,78
1056,726,463,688,108,181
1057,287,82,953,463,119
1058,885,110,36,248,895
1059,25,438,811,617,57
1060,148,641,798,662,689
1061,177,753,913,379,785
1062,714,706,430,688,946
1063,934,552,204,81,583
1064,128,671,899,480,77
1065,747,771,433,411,94
1066,436,232,891,989,47
1067,781,677,163,435,247
1068,268,354,109,424,727
1069,494,149,587,229,362
1070,73,403,135,666,465
1071,27,4,610,967,537
1072,921,419,114,265,585
1073,220,801,481,369,557
1074,65,824,443,63,209
1075,757,117,681,672,836
1076,364,337,967,101,857
1077,646,296,174,593,929
1078,348,180,860,462,81
1079,836,327,537,988,292
1080,167,744,809,625,542
1081,41,385,893,225,945
1082,549,580,14,160,217
1083,455,904,632,811,440
1084,93,268,357,264,784
1085,462,767,96,548,686
1086,491,830,561,265,836
1087,55,491,880,388,907
1088,587,102,467,305,607
1089,10,958,745,421,334
1090,57,725,878,642,114
1091,378,314,467,885,687
1092,767,536,909,88,435
1093,93,377,774,480,189
1094,93,989,916,461,668
1095,588,449,845,24,45
1096,394,998,673,59,650
1097,272,588,64,450,425
1098,874,333,657,388,58
1099,543,139,769,17,231
1100,177,886,459,870,24
1101,759,261,498,574,998
1102,72,388,879,899,811
1103,963,311,395,810,94
1104,697,223,32,301,574
1105,419,156,46,471,114
1106,913,728,176,984,112
1107,672,729,267,526,141
1108,930,543,357,879,966
1109,953,834,109,140,105
1110,970,143,368,840,747
1111,670,184,871,827,952
1112,144,2,838,21,940
1113,631,20,518,911,358
1114,911,419,813,235,725
1115,951,79,357,567,641
1116,14,308,719,619,795
1117,57,245,943,130,198
1118,216,772,878,747,124
1119,659,691,176,635,805
1120,143,152,889,471,792
1121,284,715,762,512,661
1122,183,809,542,345,817
1123,636,764,10,677,246
1124,485,133,426,896,756
1125,226,524,864,260,673
1126,585,325,314,554,706
1127,111,825,16,891,420
1128,888,890,772,963,839
1129,498,138,638,223,698
1130,449,709,180,33,492
1131,567,478,198,112,585
1132,945,885,726,789,350
1133,295,28,183,818,305
1134,523,891,987,272,645
1135,701,642,338,877,516
1136,946,739,255,177,667
1137,158,811,140,213,726
1138,304,675,516,541,3
1139,152,433,233,435,728
1140,118,429,220,114,17
1141,765,797,464,115,750
1142,35,729,691,170,52
1143,312,674,880,966,450
1144,935,961,60,361,550
1145,404,949,781,153,431
1146,161,869,5,420,509
1147,844,67,904,226,539
1148,910,109,678,119,792
1149,87,39,38,895,372
1150,875,549,55,904,804
1151,795,734,376,928,628
